product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Garmin Forerunner 55 42mm dây silicone,5290000.0,5290000.0,0,28,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-55-day-silicone-den,SmartWatch,Garmin
Garmin Forerunner 255 45.6mm dây silicone,7640000.0,8990000.0,15,19,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-255-day-silicone,SmartWatch,Garmin
Garmin Forerunner 955 46.5mm dây silicone,10780000.0,12690000.0,15,10,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-955-day-silicone,SmartWatch,Garmin
Garmin Forerunner 955 Solar 46.5mm dây silicone,12990000.0,15290000.0,15,5,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-955-solar-day-silicone,SmartWatch,Garmin
Garmin Forerunner 255 Music 45.6mm dây silicone,8740000.0,10290000.0,15,4,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-255-music-day-silicone,SmartWatch,Garmin
Garmin Venu SQ 2 Music 40.6mm dây silicone,7690000.0,7690000.0,0,8,Venu,https://www.thegioididong.com/dong-ho-thong-minh/garmin-venu-sq-2-music,SmartWatch,Garmin
Garmin Venu SQ 2 40.6mm dây silicone,6490000.0,6490000.0,0,11,Venu,https://www.thegioididong.com/dong-ho-thong-minh/garmin-venu-sq-2-day-silicone,SmartWatch,Garmin
Garmin Fenix 7 Sapphire 47mm dây silicone,22490000.0,22490000.0,0,3,Fenix,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-7-sapphire-47mm-den,SmartWatch,Garmin
Garmin Fenix 7X Solar Titanium 51mm dây silicone,23990000.0,23990000.0,0,3,Fenix,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-garmin-fenix-7x-solar-titanium,SmartWatch,Garmin
Garmin Fenix 7 47mm dây silicone,17490000.0,17490000.0,0,0,Fenix,https://www.thegioididong.com/dong-ho-thong-minh/garmin-fenix-7,SmartWatch,Garmin
Garmin Vivosmart 5 dây silicone,3690000.0,3690000.0,0,8,Vivosmart,https://www.thegioididong.com/dong-ho-thong-minh/vong-deo-tay-thong-minh-garmin-vivosmart-5,SmartWatch,Garmin
Garmin Epix Gen 2 Titanium 47mm dây silicone,24990000.0,24990000.0,0,3,Epix,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-garmin-epix-gen-2-titanium,SmartWatch,Garmin
Garmin Lily 34.5mm dây silicone,4990000.0,4990000.0,0,6,Lily,https://www.thegioididong.com/dong-ho-thong-minh/garmin-lily-day-silicone-vang,SmartWatch,Garmin
Garmin Instinct 2 45mm dây silicone,9990000.0,9990000.0,0,3,Instinct,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-garmin-instinct-2,SmartWatch,Garmin
