product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Tai nghe Bluetooth True Wireless OPPO ENCO Air 2 ETE11,1290000,1290000,0,100,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-oppo-enco-air-2-ete11,Headphone,Oppo
Tai nghe Bluetooth True Wireless OPPO ENCO Buds ETI81,790000,790000,0,252,,https://www.thegioididong.com/tai-nghe/bluetooth-tws-oppo-enco-buds-eti81,Headphone,Oppo
Tai nghe Có Dây OPPO MH151,590000,590000,0,36,,https://www.thegioididong.com/tai-nghe/co-day-ep-oppo-mh151,Headphone,Oppo
Tai nghe Có Dây OPPO MH320,180000,180000,0,316,,https://www.thegioididong.com/tai-nghe/co-day-ep-oppo-mh320,Headphone,Oppo
Tai nghe Bluetooth TWS Xiaomi Redmi Buds 4 Lite,690000,790000,12,111,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-xiaomi-redmi-buds-4-lite,Headphone,Xiaomi
Tai nghe Bluetooth True Wireless Earphones 2 Basic Xiaomi BHR4089GL,1590000,1590000,0,32,,https://www.thegioididong.com/tai-nghe/tai-nghe-true-wireless-earphones-2-basic-xiaomi,Headphone,Xiaomi
Tai nghe Bluetooth True Wireless Beats Powerbeats Pro,4790000,5990000,20,12,,https://www.thegioididong.com/tai-nghe/khong-day-powerbeats-pro,Headphone,Beats
Tai nghe Bluetooth Beats High-Performance,3190000,3990000,20,0,,https://www.thegioididong.com/tai-nghe/bluetooth-high-performance-beats-mwnv2-mwnw2-mwnx2,Headphone,Beats
Tai nghe Bluetooth Chụp Tai Beats Solo3 Wireless,4390000,5490000,20,0,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-beats-solo3-mx432-mv8t2-mx472,Headphone,Beats
Tai nghe Bluetooth True Wireless Mozard TS13,225000,450000,50,769,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-ts13,Headphone,Mozard
Tai nghe Bluetooth True Wireless Mozard Air 3,445000,890000,50,200,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-air-3-den,Headphone,Mozard
Tai nghe Bluetooth Chụp Tai Mozard K8,500000,500000,0,151,,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-k8,Headphone,Mozard
Tai nghe Có Dây Mozard DS510-WB,105000,150000,30,261,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds510-wb-xanh,Headphone,Mozard
Tai nghe Bluetooth 1 Bên Mozard Q6C,90000,300000,70,85,,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-q6c-xanh-navy,Headphone,Mozard
Tai nghe Bluetooth True Wireless Mozard Q7,140000,350000,60,29,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-q7-hong,Headphone,Mozard
Tai nghe Có Dây Mozard DS510-WB,150000,150000,0,55,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds510-wb-xanh-nanvy,Headphone,Mozard
Tai nghe Bluetooth True Wireless Mozard Air 6,380000,950000,60,199,,https://www.thegioididong.com/tai-nghe/mozard-air-6,Headphone,Mozard
Tai nghe Chụp Tai Mozard IP-360,105000,180000,40,141,,https://www.thegioididong.com/tai-nghe/chup-tai-mozard-ip-360,Headphone,Mozard
Tai nghe Bluetooth 1 Bên Mozard LE003,240000,300000,20,86,,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-le003-den,Headphone,Mozard
Tai nghe Bluetooth True Wireless Mozard TS11 mini,275000,790000,65,95,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-mozard-ts11-mini,Headphone,Mozard
Tai nghe Bluetooth True Wireless Mozard Q8,275000,790000,65,152,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-mozard-q8,Headphone,Mozard
Tai nghe Bluetooth 1 Bên Mozard R559X,300000,300000,0,54,,https://www.thegioididong.com/tai-nghe/bluetooth-mozard-r559x-den,Headphone,Mozard
