product_name,current_price,price,percent_discount,rating,link,brand_id,series,devices
Cáp Type C 1m Belkin CAB002,190.000₫,385.000₫,-50%,9,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-belkin-cab002,06,,Cables
Cáp Type C 2m Belkin CAB001,270.000₫,390.000₫,-30%,5,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-belkin-cab001,06,,Cables
Cáp Type C 1m Belkin CAB001,190.000₫,320.000₫,-40%,13,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-belkin-cab001,06,,Cables
Cáp Type C - Lightning MFI 1m Belkin CAA004,440.000₫,550.000₫,-20%,14,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-1m-belkin-caa004,06,,Cables
Cáp Lightning MFI 2m Belkin CAA002,460.000₫,580.000₫,-20%,5,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-2m-belkin-caa002,06,,Cables
Cáp Lightning MFI 1m Belkin CAA002,340.000₫,430.000₫,-20%,8,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-belkin-caa002,06,,Cables
Cáp Lightning MFI 1m Belkin CAA001,280.000₫,350.000₫,-20%,22,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-belkin-caa001,06,,Cables
Cáp Type C SuperVOOC 1m OPPO DL129,210.000₫,,,87,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-supervooc-oppo-dl129,07,,Cables
Cáp Type C 2m AUKEY CB-CD3,125.000₫,250.000₫,-50%,30,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-aukey-cb-cd3-den,08,,Cables
Cáp Lightning MFI 1.2m AUKEY CB-AL1,350.000₫,,,14,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-12m-aukey-cb-al1-do,08,,Cables
Cáp Micro USB 1.2m Energizer C41UBMCGBKT,150.000₫,,,,https://www.thegioididong.com/cap-dien-thoai/cap-micro-12m-energizer-c41ubmcgbkt-den,09,,Cables
Cáp Type C 1m Hydrus DR-T05,120.000₫,190.000₫,-35%,38,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-hydrus-dr-t05-vang,10,,Cables
Cáp Type C 2m Hydrus DS14C-WB,190.000₫,,,29,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-hydrus-ds13c-wb,10,,Cables
Cáp Type C 1m Hydrus DS13C-WB,170.000₫,190.000₫,-10%,29,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-hydrus-ds13c-wb,10,,Cables
Cáp Type C - Type C 2m Hydrus DS465,220.000₫,,,42,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-hydrus-ds465,10,,Cables
Cáp Type C - Type C 1m Hydrus DS464,220.000₫,,,43,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-hydrus-ds464,10,,Cables
Cáp Type C 1m Hydrus DR-T04,190.000₫,,,17,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-hydrus-dr-t04,10,,Cables
Cáp Lightning 1m Hydrus CS-C-021,170.000₫,190.000₫,-10%,79,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-1m-hydrus-cs-c-021,10,,Cables
Cáp Type C 1m Hydrus DR-T01,130.000₫,190.000₫,-30%,10,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-hydrus-dr-t01,10,,Cables
Cáp Lightning MFI 1m Mophie,185.000₫,290.000₫,-35%,69,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mophie,11,,Cables
Cáp Lightning 2m eValu LTL-04X,150.000₫,190.000₫,-20%,24,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-evalu-ltl-04x-do,12,,Cables
Cáp 3 đầu Lightning Type C Micro 1m eValu Spanker B 2,220.000₫,,,125,https://www.thegioididong.com/cap-dien-thoai/cap-3-dau-lightning-type-c-micro-evalu-spanker-b2,12,,Cables
Cáp Lightning 2m eValu LTL-04X,150.000₫,190.000₫,-20%,160,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-2m-evalu-ltl-04x,12,,Cables
Cáp Micro USB 1m eValu LTM -01,100.000₫,,,143,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-evalu-ltm-01-do-den,12,,Cables
Cáp chuyển 2RCA sang 3.5mm Âm 0.3m e.Valu LRCA-01,25.000₫,50.000₫,-50%,18,https://www.thegioididong.com/cap-dien-thoai/cap-chuyen-2rca-sang-35mm-am-30cm-evalu-lrca-01,12,,Cables
Cáp chuyển đổi e.VALU LT8611SX,250.000₫,,,4,https://www.thegioididong.com/cap-dien-thoai/adapter-chuyen-mini-displayport-hdmi-female-10cm-e,12,,Cables
Cáp Micro USB e.VALU LTM-01,80.000₫,,,39,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-evalu-ltm-01,12,,Cables
Cáp Lightning 0.2m eValu LTL-02,70.000₫,,,137,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-20cm-evalu-ltl-02,12,,Cables
Cáp âm thanh 3.5mm 1m eSaver DS125-TB,20.000₫,40.000₫,-40%,87,https://www.thegioididong.com/cap-dien-thoai/cap-audio-35mm-1m-esaver-ds125-tb-den,13,,Cables
Cáp Micro USB 0.2m eSaver BST-0728,40.000₫,,,20,https://www.thegioididong.com/cap-dien-thoai/cap-micro-usb-20cm-esaver-bst-0728-trang,13,,Cables
Cáp Type C - Lightning MFI 2m Mbest DS948-WB,350.000₫,,,56,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-2m-mbest-ds948-wb-xanh,14,,Cables
